situacao_na_venda,val_avaliacao,segmento,UF,Tipo_de_imovel,dias_ate_ser_vendido
1,86500.0,1,15,1,1283
1,86500.0,1,15,1,200
1,75800.0,0,17,7,1618
1,75800.0,0,17,7,1618
1,75841.91,0,18,11,1626
1,86600.0,1,19,1,322
1,84977.94,2,13,1,1582
1,86650.0,1,22,1,151
1,85000.0,2,19,1,193
1,85000.0,2,8,1,1660
1,85000.0,2,15,1,183
1,85000.0,2,4,1,1662
1,85000.0,2,18,0,1374
1,85000.0,2,22,0,1761
1,85000.0,2,19,1,1793
1,85000.0,2,8,1,60
1,85031.0,2,8,1,1709
1,86710.0,1,24,1,1711
1,76000.0,0,22,11,269
1,76000.0,0,17,7,1618
1,76000.0,0,1,11,98
1,86900.0,1,17,1,360
1,87000.0,1,5,1,1760
1,87000.0,1,19,1,1808
1,87000.0,1,13,1,1626
1,87000.0,1,13,1,1634
1,87000.0,1,19,1,465
1,87000.0,1,19,1,451
1,87000.0,1,19,1,226
1,87000.0,1,9,1,903
1,87000.0,1,19,1,1379
1,87000.0,1,8,1,1705
1,87000.0,1,5,1,1561
1,87000.0,1,19,1,456
1,87000.0,1,18,0,99
1,87000.0,1,13,1,1705
1,87000.0,1,10,1,1634
1,87000.0,1,13,1,1736
1,87000.0,1,8,1,134
1,87000.0,1,17,1,129
1,87047.32,1,16,1,1726
0,78000.0,1,19,1,459
0,78000.0,1,19,1,1722
0,78000.0,1,19,1,151
1,87200.0,1,4,1,1619
1,87436.12,1,1,1,1744
1,87500.0,1,17,1,178
1,87500.0,1,19,1,1799
1,85822.37,2,16,1,1612
1,87516.4,1,13,1,294
1,85881.0,2,19,1,114
1,87600.0,1,1,1,1402
1,86000.0,2,10,1,1296
1,86000.0,2,22,0,135
1,86000.0,2,1,1,1191
1,86000.0,2,5,1,424
1,86000.0,2,8,1,1647
1,86000.0,2,5,1,106
1,86000.0,2,14,1,1740
1,86000.0,2,22,0,1593
1,86000.0,2,5,1,1656
1,86000.0,2,22,0,60
1,87700.0,1,15,1,1556
1,88000.0,1,8,1,1521
1,88000.0,1,19,1,1571
1,88000.0,1,5,1,289
1,88000.0,1,19,1,191
1,88000.0,1,19,1,248
1,88000.0,1,19,1,1673
1,88000.0,1,5,1,1655
1,88000.0,1,19,1,112
1,88000.0,1,10,1,1348
1,88000.0,1,1,1,268
1,88000.0,1,14,1,1296
1,88000.0,1,8,1,1533
1,88000.0,1,5,1,1586
1,88019.62,1,24,1,941
1,86500.0,2,22,0,137
1,88204.18,1,17,1,479
0,79000.0,1,19,1,308
0,79000.0,1,10,1,1803
0,79000.0,1,8,1,1780
0,79000.0,1,19,1,1736
0,79000.0,1,19,1,1463
0,79000.0,1,19,1,1373
1,88300.0,1,17,1,287
1,86600.0,2,22,0,463
1,88500.0,1,19,1,1687
1,88500.0,1,8,1,1674
1,87000.0,2,18,1,1374
1,87000.0,2,8,1,1676
1,87000.0,2,22,0,1309
1,87000.0,2,4,1,64
1,87000.0,2,5,1,92
1,87000.0,2,8,1,1522
1,87000.0,2,19,1,1381
1,87000.0,2,18,0,1520
1,87000.0,2,5,1,1556
1,87113.37,2,19,11,1296
1,89000.0,1,8,1,1586
1,89000.0,1,16,1,1704
1,89000.0,1,13,1,1592
1,89000.0,1,19,1,444
1,89000.0,1,8,1,1771
1,89000.0,1,19,1,255
1,89000.0,1,5,1,1655
1,89000.0,1,13,1,247
1,89000.0,1,16,1,1124
1,89000.0,1,16,1,1674
1,89000.0,1,19,1,1794
1,89000.0,1,15,1,185
1,89000.0,1,8,1,1638
1,89000.0,1,19,1,183
1,89000.0,1,4,1,74
1,89000.0,1,19,1,1411
1,89000.0,1,9,1,1404
1,89000.0,1,5,1,462
0,75000.0,2,10,11,115
1,87306.46,2,18,0,703
1,87400.0,2,10,1,1705
1,87600.0,2,24,1,1803
0,80000.0,1,8,1,1613
0,80000.0,1,18,1,203
1,89400.0,1,19,1,1815
1,87739.0,2,9,1,1767
1,89500.0,1,8,1,81
1,89526.66,1,19,1,1331
1,89616.29,1,15,1,172
1,88000.0,2,22,0,64
